"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/28/2019","AQS","360610115","3","7.1","ug/m3 LC","30","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"05/29/2019","AQS","360610115","3","3.7","ug/m3 LC","15","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"05/30/2019","AQS","360610115","3","4.6","ug/m3 LC","19","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"05/31/2019","AQS","360610115","3","8.6","ug/m3 LC","36","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/01/2019","AQS","360610115","3","11.1","ug/m3 LC","46","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/02/2019","AQS","360610115","3","9.6","ug/m3 LC","40","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/03/2019","AQS","360610115","3","2.5","ug/m3 LC","10","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/04/2019","AQS","360610115","3","2.2","ug/m3 LC","9","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/05/2019","AQS","360610115","3","12.4","ug/m3 LC","52","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/06/2019","AQS","360610115","3","4.7","ug/m3 LC","20","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/07/2019","AQS","360610115","3","8","ug/m3 LC","33","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/08/2019","AQS","360610115","3","4.4","ug/m3 LC","18","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/09/2019","AQS","360610115","3","2.1","ug/m3 LC","9","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/10/2019","AQS","360610115","3","1.5","ug/m3 LC","6","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/11/2019","AQS","360610115","3","0","ug/m3 LC","0","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/12/2019","AQS","360610115","3","0","ug/m3 LC","0","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/13/2019","AQS","360610115","3","-0.1","ug/m3 LC","0","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/14/2019","AQS","360610115","3","3.2","ug/m3 LC","13","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/15/2019","AQS","360610115","3","5.2","ug/m3 LC","22","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/16/2019","AQS","360610115","3","10.1","ug/m3 LC","42","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/17/2019","AQS","360610115","3","6.3","ug/m3 LC","26","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/18/2019","AQS","360610115","3","8.4","ug/m3 LC","35","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/19/2019","AQS","360610115","3","2.6","ug/m3 LC","11","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/20/2019","AQS","360610115","3","5.4","ug/m3 LC","23","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/21/2019","AQS","360610115","3","1.9","ug/m3 LC","8","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/22/2019","AQS","360610115","3","1.8","ug/m3 LC","8","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/23/2019","AQS","360610115","3","2.6","ug/m3 LC","11","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/24/2019","AQS","360610115","3","8.6","ug/m3 LC","36","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/25/2019","AQS","360610115","3","10.2","ug/m3 LC","43","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/26/2019","AQS","360610115","3","4.8","ug/m3 LC","20","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/27/2019","AQS","360610115","3","4","ug/m3 LC","17","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/28/2019","AQS","360610115","3","7","ug/m3 LC","29","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/29/2019","AQS","360610115","3","9.5","ug/m3 LC","40","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"06/30/2019","AQS","360610115","3","3","ug/m3 LC","13","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"07/01/2019","AQS","360610115","3","1.9","ug/m3 LC","8","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"07/02/2019","AQS","360610115","3","6.4","ug/m3 LC","27","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"07/03/2019","AQS","360610115","3","12.6","ug/m3 LC","52","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"07/04/2019","AQS","360610115","3","22.2","ug/m3 LC","72","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"07/05/2019","AQS","360610115","3","10.2","ug/m3 LC","43","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"07/06/2019","AQS","360610115","3","6.9","ug/m3 LC","29","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"07/07/2019","AQS","360610115","3","8.2","ug/m3 LC","34","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"07/08/2019","AQS","360610115","3","10.4","ug/m3 LC","43","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"07/09/2019","AQS","360610115","3","6.1","ug/m3 LC","25","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
